T,c,eta_alpha,Tide,HasDendrite,Tsc,HasReachedHeightLimitof180μm,Nd,AR_max,AR_avg,tau_max
318,0.15,-0.3,178.7152,1,190.0052,1,3,87.19598855,30.62143946,1.059637163
318,0.15,-0.4,94.2851,1,105.7851,1,16,411.676963,93.56806347,2.63620544
318,0.15,-0.5,1.855175,1,7.07955,1,41,1425.041551,585.3372416,9.208843751
318,0.15,-0.6,0.1888,1,1.0944,1,35,621.140747,498.0262931,14.14592354
328,0.05,-0.2,339.0468668,0,339.0468668,1,0,0,0,1
328,0.05,-0.3,199.8806168,1,214.8306168,1,10,141.9169192,53.72693778,1.992446327
328,0.05,-0.4,43.89501875,1,75.77501875,1,7,723.6915954,200.5889284,2.548744671
328,0.05,-0.5,20.841312,1,26.421812,1,8,1546.869961,515.99222,3.848529205
328,0.05,-0.6,0.5294,1,2.23065,1,40,1727.30264,824.7536491,10.85357168
328,0.07,-0.2,271.1893668,0,271.1893668,1,0,0,0,1
328,0.07,-0.3,148.2577,1,168.6677,1,12,146.5372561,61.98096059,2.030105287
328,0.07,-0.4,76.4464288,1,90.6864288,1,9,486.5661117,112.9066384,3.483568774
328,0.07,-0.5,9.985312,1,14.696062,1,13,1844.26388,645.1054159,4.1774503
328,0.07,-0.6,0.392975,1,1.5951625,1,34,1614.169368,712.2645433,9.994501038
328,0.09,-0.2,241.2102,0,241.2102,1,0,0,0,1
328,0.09,-0.3,132.7377,1,149.00395,1,10,164.9525205,72.84787526,2.252234815
328,0.09,-0.4,49.65812,1,65.97312,1,8,1248.318009,244.4138487,2.97171752
328,0.09,-0.5,1.64196,1,6.34055375,1,23,2085.339662,753.9669404,9.963423115
328,0.09,-0.6,0.316604688,1,1.272804687,1,38,1361.778011,643.0775977,10.46377837
328,0.11,-0.2,231.5152,0,231.5152,1,0,0,0,1
328,0.11,-0.3,120.463,1,139.383,1,9,187.0592009,56.50803277,1.640840534
328,0.11,-0.4,39.62656,1,55.30656,1,13,739.9399712,169.0699711,3.389598904
328,0.11,-0.5,1.640408,1,6.117908,1,42,1842.907803,654.5746377,9.626145887
328,0.11,-0.6,0.2464,1,1.0986,1,46,1158.707383,583.2531876,11.37261919
328,0.13,-0.2,237.0152,0,237.0152,1,0,0,0,1
328,0.13,-0.3,118.9716,1,139.5866,1,9,186.5685211,50.62340593,1.438616441
328,0.13,-0.4,34.152336,1,50.132336,1,6,1035.736121,295.2226974,3.058367375
328,0.13,-0.5,1.474376,1,5.625235375,1,40,1574.664685,680.3236724,10.10437193
328,0.13,-0.6,0.179020313,1,0.930820313,1,36,864.8895243,487.0364465,12.70605454
328,0.15,-0.2,257.306224,0,257.306224,1,0,0,0,1
328,0.15,-0.3,118.2691,1,145.6091,1,8,225.3245873,64.74317907,1.554525984
328,0.15,-0.4,32.3368,1,49.2768,1,7,993.4948115,287.0306694,3.412780966
328,0.15,-0.6,0.112,1,0.7978,1,36,589.782773,423.9144607,14.86154093
